codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,pondera,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio,itf,pondih
137620,1.0,2.0,39.0,2.0,1.0,6.0,1.0,0.0,331.5,592.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,0,0,2005,,
137620,1.0,1.0,35.0,2.0,1.0,4.0,1.0,0.0,331.5,592.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,2005,,
137620,1.0,2.0,7.0,5.0,1.0,1.0,4.0,3.0,331.5,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137620,1.0,1.0,5.0,5.0,1.0,7.0,4.0,5.0,331.5,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137728,1.0,1.0,50.0,2.0,1.0,3.0,1.0,0.0,227.83333333333331,486.0,3.0,0.0,72.0,0.0,2.0,9.0,0.0,0,0,2005,,
137728,1.0,2.0,52.0,2.0,1.0,3.0,1.0,0.0,227.83333333333331,486.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0,0,2005,,
137728,1.0,1.0,23.0,5.0,4.0,3.0,2.0,0.0,227.83333333333331,486.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,2005,,
137728,1.0,1.0,21.0,5.0,1.0,3.0,3.0,6.0,227.83333333333331,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137728,1.0,2.0,18.0,5.0,1.0,5.0,3.0,3.0,227.83333333333331,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137728,1.0,2.0,17.0,5.0,1.0,3.0,3.0,3.0,227.83333333333331,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137799,1.0,1.0,36.0,1.0,1.0,5.0,1.0,0.0,504.0,294.0,3.0,0.0,60.0,0.0,2.0,7.0,0.0,0,0,2005,,
137799,1.0,2.0,38.0,1.0,1.0,6.0,1.0,0.0,504.0,294.0,3.0,0.0,0.0,0.0,1.0,9.0,0.0,0,0,2005,,
