codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQRMNORSPHJNKNCDEIMBF00872717,1,2,35,1,4.0,4,1,0,1152000.0,230400.0,213.0,263.0,2,0.0,83.0,0.0,2.0,1.0,,0,0
TQRMNOSXYHJMKQCDEIMBF00872774,1,2,80,4,1.0,3,3,1,710000.0,710000.0,135.0,180.0,0,,,,,,,0,0
TQRMNOQTYHJLLMCDEIMBF00877917,1,2,41,5,1.0,6,1,0,800000.0,800000.0,181.0,240.0,3,0.0,60.0,0.0,2.0,9.0,,0,0
TQRMNOQYRHKLKUCDEIMBF00857687,1,2,72,2,1.0,4,3,1,686000.0,343000.0,141.0,239.0,0,,,,,,,0,0
TQRMNOQYRHKLKUCDEIMBF00857687,1,1,74,2,1.0,5,3,1,686000.0,343000.0,141.0,239.0,0,,,,,,,0,0
TQRMNORWQHKNLLCDEIMBF00860844,1,2,44,3,4.0,3,1,0,1135000.0,283750.0,121.0,112.0,3,2.0,35.0,6.0,2.0,9.0,,0,0
TQRMNORWQHKNLLCDEIMBF00860844,1,2,25,5,4.0,5,3,3,1135000.0,283750.0,121.0,112.0,0,,,,,,,0,0
TQRMNORWQHKNLLCDEIMBF00860844,1,2,24,5,4.0,5,3,3,1135000.0,283750.0,121.0,112.0,0,,,,,,,0,0
TQRMNORWQHKNLLCDEIMBF00860844,1,2,16,5,4.0,3,3,3,1135000.0,283750.0,121.0,112.0,0,,,,,,,0,0
TQRMNOPWRHMMLLCDEFIAH00877630,1,2,79,5,1.0,2,3,2,500000.0,500000.0,550.0,687.0,0,,,,,,,0,0
TQRMNORVSHLMLNCDEFIAH00851607,1,1,25,5,2.0,5,3,3,368000.0,368000.0,829.0,875.0,0,,,,,,,0,0
TQRMNOPYSHLMKPCDEFLID00852024,1,1,36,1,1.0,4,1,0,0.0,0.0,638.0,,3,0.0,54.0,0.0,2.0,11.0,,0,0
TQRMNOPYSHLMKPCDEFLID00852024,1,2,7,5,1.0,1,4,3,0.0,0.0,638.0,,0,,,,,,,0,0
TQRMNOPYSHLMKPCDEFLID00852024,1,2,45,1,1.0,4,1,0,0.0,0.0,638.0,,3,0.0,30.0,0.0,2.0,,,0,0
TQRMNOPVYHMMKOCDEFLID00877647,1,1,57,2,1.0,4,1,0,2300000.0,1150000.0,338.0,822.0,2,0.0,40.0,0.0,2.0,1.0,,0,0
TQRMNOPVYHMMKOCDEFLID00877647,1,2,57,2,1.0,6,3,1,2300000.0,1150000.0,338.0,822.0,0,,,,,,,0,0
TQRMNOSQQHMMKPCDEFLID00877701,1,1,28,5,1.0,6,1,0,940000.0,470000.0,289.0,578.0,3,0.0,44.0,0.0,2.0,6.0,,0,0
TQRMNOPTVHLOKSCDEFLID00851916,1,2,60,2,1.0,3,1,0,1050000.0,525000.0,303.0,842.0,3,0.0,8.0,0.0,2.0,0.0,,0,0
TQRMNOPTVHLOKSCDEFLID00851916,1,1,62,2,1.0,2,1,0,1050000.0,525000.0,303.0,842.0,3,0.0,44.0,0.0,2.0,2.0,,0,0
